Date,Symbol,Exchange,garch,svr,mlp,LSTM
2022-03-12 03:38:18.409915,MSFT,NASDAQ,0.01495964553370057,[0.72422446],[0.72515825],[281.5084]
2022-03-12 03:38:18.409915,INTC,NASDAQ,0.015659936633428226,[1.18253687],[1.00765755],[53.685925]
2022-03-12 03:38:18.409915,EBAY,NASDAQ,0.03650750916146547,[1.340539],[1.13271568],[71.0751]
2022-03-12 03:38:18.409915,XOM,NYSE,0.025974519050041764,[1.71918885],[1.67501219],[56.183563]
2022-03-12 03:38:18.409915,AAPL,NASDAQ,0.02086417198492095,[1.01313011],[1.06334141],[102.70697]
2022-03-12 03:38:18.409915,UAL,NASDAQ,0.05732958651787916,[2.97563634],[2.83065996],[43.43527]
2022-03-12 03:38:18.409915,JPM,NYSE,0.01568067350378241,[1.13209815],[0.95059145],[148.22386]
2022-03-12 03:38:18.409915,DAL,NYSE,29.571549804817415,[3.14097295],[2.77417769],[42.74915]
2022-03-12 03:38:18.409915,DKNG,NASDAQ,0.11540714685565982,[1.89586188],[1.6885282],[60.322445]
2022-03-12 03:38:18.409915,USB,NYSE,0.02181448455334259,[1.64893325],[1.61024528],[54.691387]
2022-03-12 03:38:18.409915,WFC,NYSE,0.07195413264832293,[3.7048839],[3.43995819],[47.332264]
2022-03-12 03:38:18.409915,BMY,NYSE,0.016768907666393513,[1.00715623],[0.97240235],[65.3507]
2022-03-12 03:38:18.409915,CSCO,NASDAQ,0.018903301756175887,[0.67285132],[0.44675939],[57.255165]
2022-03-12 03:38:18.409915,PFE,NYSE,0.03144179946278641,[1.60786641],[1.5697274],[47.21451]
2022-03-12 03:38:18.409915,T,NYSE,0.010566319255502244,[1.08498485],[0.96448455],[27.900248]
2022-03-12 03:38:18.409915,BA,NYSE,0.03293992432755963,[1.93124937],[1.90353173],[238.1194]
2022-03-12 03:38:18.409915,C,NYSE,0.02800574444440277,[1.16649743],[1.21748911],[70.09402]
2022-03-12 03:38:18.409915,AMD,NASDAQ,0.07598885990846208,[2.37932156],[2.35013873],[85.630615]
2022-03-12 03:38:18.409915,BAC,NYSE,0.022447833716866025,[1.44804951],[1.35876873],[41.179214]
2022-03-12 03:38:18.409915,WORK,NYSE,0.08926551799791531,[0.56851912],[0.62477084],[36.60406]
2022-03-12 03:38:18.409915,VIAC,NASDAQ,2.0768084768792257,[2.22775027],[2.23644389],[41.39186]
2022-03-12 03:38:18.409915,FB,NASDAQ,0.030463819241275683,[1.60717313],[1.57556049],[333.97147]
2022-03-12 03:38:18.409915,NFLX,NASDAQ,0.07097230375629343,[1.258615],[0.92579222],[443.74564]
2022-03-12 03:38:18.409915,SNAP,NYSE,0.12275223172149886,[1.83880724],[1.72887809],[66.563446]
2022-03-12 03:38:18.409915,TWTR,NYSE,0.08613535649896965,[1.98154197],[1.88784423],[59.217922]
2022-03-12 03:38:18.409915,UBER,NYSE,0.0686895250921166,[1.55429657],[1.78276301],[41.440346]
2022-03-12 03:38:18.409915,KO,NYSE,0.006675640969121076,[0.65341034],[0.54852631],[51.903023]
2022-03-12 03:38:18.409915,PINS,NYSE,0.19380773720513822,[1.72683917],[1.88523745],[56.43463]
2022-03-12 03:38:18.409915,TSLA,NASDAQ,0.05783424056147026,[1.24053681],[1.17169081],[326.8661]
2022-03-12 03:38:18.409915,AVTR,NYSE,0.02854472980451046,[1.31734345],[1.30468049],[39.57871]
2022-03-12 03:38:18.409915,MU,NASDAQ,0.050927977748196955,[1.61674173],[1.63709967],[67.36061]
2022-03-12 03:38:18.409915,NVDA,NASDAQ,0.636916940886521,[1.98928968],[1.60207393],[214.06056]
2022-03-12 03:38:18.409915,ORCL,NYSE,0.015030079194353691,[0.78570638],[0.75155714],[81.613045]
2022-03-12 03:38:18.409915,CMCSA,NASDAQ,0.020316644538705277,[1.16460333],[1.03152116],[54.068123]
2022-03-12 03:38:18.409915,CTLT,NYSE,0.05900574476621367,[2.33291527],[2.51427753],[90.478096]
2022-03-12 03:38:18.409915,PTON,NASDAQ,0.19219691109747467,[2.45430757],[2.14809515],[103.49178]
2022-03-12 03:38:18.409915,KDP,NASDAQ,0.010272676806057743,[0.98531001],[0.82985765],[35.60969]
2022-03-12 03:38:18.409915,MS,NYSE,0.019206754089565382,[1.52248354],[1.04146643],[98.9615]
2022-03-12 03:38:18.409915,WDC,NASDAQ,0.08911686855208206,[3.3998421],[2.90695167],[62.969933]
2022-03-12 03:38:18.409915,BSX,NYSE,0.021249533073053474,[1.28556718],[1.17085142],[44.041374]
2022-03-12 03:38:18.409915,NKLA,NASDAQ,0.4753083556365837,[6.4283821],[6.38197294],[13.480083]
2022-03-12 03:38:18.409915,FE,NYSE,0.011267263862571446,[0.6459973],[0.54700216],[38.710587]
2022-03-12 03:38:18.409915,FCX,NYSE,0.09004016925507584,[3.74624766],[3.72042171],[35.561035]
2022-03-12 03:38:18.409915,CCL,NYSE,0.09732280272090742,[3.86399238],[3.75192572],[24.256298]
2022-03-12 03:38:18.409915,VZ,NYSE,0.004862641840271231,[0.28621254],[0.320842],[55.25089]
2022-03-12 03:38:18.409915,PLUG,NASDAQ,2.0418430077659413,[1.85109998],[2.64029913],[26.71022]
2022-03-12 03:38:18.409915,PLTR,NYSE,0.0677791497029901,[1.59452655],[1.80815403],[26.601618]
2022-03-12 03:38:18.409915,MRNA,NASDAQ,3.239184949282407,[4.43143778],[4.36678438],[420.0883]
2022-03-12 03:38:18.409915,GM,NYSE,0.04786774278374339,[1.50448765],[1.41293168],[50.6098]
2022-03-12 03:38:18.409915,COP,NYSE,0.053781127004000645,[1.8493398],[1.82577122],[55.768124]
2022-03-12 03:38:18.409915,OXY,NYSE,0.13925159293137906,[3.19532823],[2.77208609],[29.262821]
2022-03-12 03:38:18.409915,AMAT,NASDAQ,0.04494095493843754,[1.92580082],[1.84219527],[109.85661]
2022-03-12 03:38:18.409915,CCIV,NYSE,0.0012533225558014416,[0.52272694],[0.63580445],
2022-03-12 03:38:18.409915,CZR,NASDAQ,0.31646879545887757,[2.03265114],[1.95083249],[48.389526]
2022-03-12 03:38:18.409915,MRK,NYSE,0.014562233430574256,[0.81252845],[0.78848624],[76.65304]
2022-03-12 03:38:18.409915,HPQ,NYSE,0.056251026824295766,[2.57443976],[2.44771736],[27.990496]
2022-03-12 03:38:18.409915,AAL,NASDAQ,0.06733680673143091,[2.87078874],[2.66192837],[20.675087]
2022-03-12 03:38:18.409915,QS,NYSE,0.21397510072492718,[1.48609892],[1.35377835],
2022-03-12 03:38:18.409915,RBLX,NYSE,0.1515226401139195,[3.60904213],[3.57299658],
2022-03-12 03:38:18.409915,AMC,NYSE,0.545220618163177,[5.78352767],[5.77366672],[32.184364]
2022-03-12 03:38:18.409915,CLF,NYSE,0.4182616343873169,[2.81912293],[2.43217439],[27.081348]
2022-03-12 03:38:18.409915,MTCH,NASDAQ,10.47307128435865,[1.80853863],[1.88917903],[147.63911]
2022-03-12 03:38:18.409915,BRO,NYSE,0.023705749677971465,[0.95505968],[0.78463008],[48.643234]
2022-03-12 03:38:18.409915,LCID,NASDAQ,0.259228987883079,[12.33553621],[13.03570912],
2022-03-12 03:38:18.409915,HYG,AMEX,0.0004688159142727025,[0.20762599],[0.18545489],[87.015305]
2022-03-12 03:38:18.409915,TLT,NASDAQ,0.005231647739867325,[0.5357991],[0.4403304],[148.86665]
2022-03-12 03:38:18.409915,LQD,AMEX,0.001038977687937725,[0.30186638],[0.22395715],[135.37798]
2022-03-12 03:38:18.409915,EFA,AMEX,0.004632965678076325,[0.27609381],[0.20742801],[79.12881]
2022-03-12 03:38:18.409915,EWW,AMEX,0.016164111444316356,[1.55017788],[1.5525509],[48.580135]
2022-03-12 03:38:18.409915,EWZ,AMEX,0.02667358618821779,[1.11502334],[0.90140357],[36.73237]
2022-03-12 03:38:18.409915,GLD,AMEX,0.006751203490763497,[0.64708413],[0.51103267],[170.54752]
2022-03-12 03:38:18.409915,SLV,AMEX,0.020194693358939367,[1.04031521],[0.72462591],[21.223501]
2022-03-12 03:38:18.409915,XME,AMEX,0.043796249308330634,[1.41953703],[1.27082025],[43.849262]
2022-03-12 03:38:18.409915,XOP,AMEX,0.0588391871462622,[2.09005197],[2.06940884],[80.65987]
2022-03-12 03:38:18.409915,XLE,AMEX,0.02567001535872397,[1.44382204],[1.26227743],[47.436153]
2022-03-12 03:38:18.409915,DBA,AMEX,0.006321312299447895,[0.55448072],[0.54500439],[19.178852]
2022-03-12 03:38:18.409915,IYR,AMEX,0.021044821705618097,[0.68434813],[0.69088189],[97.76758]
2022-03-12 03:38:18.409915,VNQ,AMEX,0.006331057914462446,[0.68728044],[0.65054449],[99.32384]
2022-03-12 03:38:18.409915,XHB,AMEX,0.012736285461670733,[0.39227996],[0.44811499],[70.1723]
2022-03-12 03:38:18.409915,SPY,AMEX,0.0032453582803268345,[0.37194438],[0.21165542],[298.1132]
2022-03-12 03:38:18.409915,QQQ,NASDAQ,0.006631148265123546,[0.60894032],[0.71580094],[290.2222]
2022-03-12 03:38:18.409915,IWM,AMEX,0.014171007214196084,[0.66707725],[0.66588812],[209.1617]
